number,ticker,company
1,AAPL,Apple
2,ABNB,Airbnb
3,ADBE,Adobe
4,ADI,Analog
5,ADP,Automatic
6,ADSK,Autodesk
7,AEP,American
8,ALNY,Alnyam
9,AMAT,Applied
10,AMD,Advanced
11,AMGN,Amgen
12,AMZN,Amazon.com
13,APP,AppLovin
14,ARM,Arm
15,ASML,ASML
16,AVGO,Broadcom
17,AXON,Axon
18,BKNG,Booking
19,BKR,Baker
20,CCEP,Coca-Cola
21,CDNS,Cadence
22,CEG,Constellation
23,CHTR,Charter
24,CMCSA,Comcast
25,COST,Costco
26,CPRT,Copart
27,CRWD,CrowdStrike
28,CSCO,Cisco
29,CSGP,CoStar
30,CSX,CSX
31,CTAS,Cintas
32,CTSH,Cognizant
33,DASH,DoorDash
34,DDOG,Datadog
35,DXCM,Dexcom
36,EA,Electronic
37,EXC,Exelon
38,FANG,Diamondback
39,FAST,Fastenal
40,FER,Ferrovial
41,FTNT,Fortinet
42,GEHC,GE
43,GILD,Gilead
44,GOOG,Alphabet
45,GOOGL,Alphabet
46,HON,Honeywell
47,IDXX,IDEXX
48,INSM,Insmed
49,INTC,Intel
50,INTU,Intuit
51,ISRG,Intuitive
52,KDP,Keurig
53,KHC,Kraft
54,KLAC,KLA
55,LIN,Linde
56,LRCX,Lam
57,MAR,Marriott
58,MCHP,Microchip
59,MDLZ,Mondelez
60,MELI,MercadoLibre
61,META,Meta
62,MNST,Monster
63,MPWR,Monolithic
64,MRVL,Marvell
65,MSFT,Microsoft
66,MSTR,MicroStrategy
67,MU,Micron
68,NFLX,Netflix
69,NVDA,Nvidia
70,NXPI,NXP
71,ODFL,Old
72,ORLY,O’Reilly
73,PANW,Palo
74,PAYX,Paychex
75,PCAR,PACCAR
76,PDD,PDD
77,PEP,PepsiCo
78,PLTR,Palantir
79,PYPL,PayPal
80,QCOM,Qualcomm
81,REGN,Regeneron
82,ROP,Roper
83,ROST,Ross
84,SBUX,Starbucks
85,SHOP,Shopify
86,SNPS,Synopsys
87,STX,Seagate
88,TEAM,Atlassian
89,TMUS,T-Mobile
90,TRI,Thomson
91,TSLA,Tesla
92,TTWO,Take-Two
93,TXN,Texas
94,VRSK,Verisk
95,VRTX,Vertex
96,WBD,Warner
97,WDAY,Workday
98,WDC,Western
99,WMT,Walmart
100,XEL,Xcel
101,ZS,Zscaler
